Challenge Question Data;Christina;Kerrie;Revised Coding/Christina ;Final Codes;;;;;;;
Schooling and fighting;"schooling; conflict at home ";schooling;schooling;Schooling;;;;;;;
It’s still cold outside and we are from the south so it is been difficult to get out of the house. I work in the hospital so I’m very careful with going in public and we don’t take our son out in public. We want to socialize him, but we want him to be safe and we want the community to be safe from being exposed from us. Our son stims by rubbing his mouth, so that has been difficult to redirect as we typically let him stim or he is safe while doing it.;"isolation; children's well-being, COVID worries";"COVID worries; Conflicting parental values and actions; Child well-being";"isolation; children's well-being, COVID worries; conflicting parental values and actions ";"Isolation; Children's Well-being; COVID-19 Stress and Worries; Conflicting Parental Values and Actions";;;;;;;
Encouraging them to be more active.;lack of physical activity?;Isolation/Confinement;confinment?;Confinement;;;;;;;
Balancing working full time, both from home and at work, and home schooling the children.;"balancing work and parenting; schooling";Balancing work and homeschooling;"balancing work and parenting; schooling";"Balancing work and parenting; Schooling";;;;;;;
No breaks ever;"parenting exhaustion; no alone time ";"Parenting exhaustion; No alone time";"no alone time; parenting exhaustion";"Lack of Alone Time; Parenting Exhaustion";;;;;;;
The constant need to be “on” since neither of my children are at an age to do much for themselves or entertain themselves for very long. Trying to work while caring for a 3 year old and an under 1 baby is very challenging.;"parenting exhaustion; balancing work and parenting";"parenting exhaustion; Balancing work and parenting; keeping child/family busy";"parenting exhaustion; balancing work and parenting";"Balancing work and parenting; Parenting Exhaustion";;;;;;;
Uncertainty;uncertainty;Uncertainty;Uncertainty;Uncertainty;;;;;;;
Working from home and being a teacher and parent at the same time.;"juggling multiple roles; balabcing work and parenting ";Balancing working and teaching;Juggling multiple roles;;;;;;;;
"Have focus to still work/study from home.
Keep the kids doing his school activities, routine, homework, bedtime...";"keeping routines; working from home; balancing work and parenting ";"Juggling multiple roles; Routine changes?";"Juggling multiple roles; Balancing work and parenting; Routine Changes";"Juggling multiple roles; Balancing work and parenting; Routine Changes";;;;;;;
Lack of seeing people for my kid and me. We are an extroverted family and it's been hard not to see her interact with other children or adults and hard for us!;isolation/confinement;Isolation/Confinement;"Confinement; Child socialization";"Confinement; Child socialization";;;;;;;
keeping children busy;keeping child/family busy;Keeping child/family busy;Keeping child/family busy;Keeping Family Busy;;;;;;;
No private time for me. Every where is closed. No place to go and relax a little bit;lack of alone time;No alone time;no alone time ;Lack of Alone Time;;;;;;;
Never getting a break, day in day out parenting and having to oversee schooling while I also work all under the same roof.;"parenting exhaustion; balancing work and parenting; balancing parenting and home-schooling; juggling multiple roles";"Parenting exhaustion; juggling multiple roles (could expand to balancing work and parenting; balancing parenting and teaching)";"Parenting Exhaustion; Juggling Multiple Roles";"Parenting Exhaustion; Juggling Multiple Roles";;;;;;;
Having to feel constantly divided between work and childcare, not being able to fully devote attention to him in the same way as before, not being able to have family see him.;"balancing work and parenting; family separation; parenting exhaution (as in not being able to fullly devote attention to child?)";"Balancing work and parenting; conflicting parental values and actions; family separation";"Balancing work and parenting; Conflicting Parental Values and Actions; Family Separation";"Balancing work and parenting; Conflicting Parental Values and Actions; Family Separation";;;;;;;
No pre school! It was my sons first year and he had to switch schools and had only been going to the new one for three weeks and was so exited to be riding the bus. So trying to explain to him that all of a sudden we aren't going to the bus stop everyday was hard.;"childcare/school closure;explaining COVID to children";"Routine changes; Explaining COVID to kids";"school and childcare closure; routine changes; explaining COVID to kids ";"School and Childcare Closures; Routine Changes; Explaining COVID-19 to Kids";;;;;;;
Facilitating at home learning while working from home.;balacing working and teaching;Balancing working and teaching;Balancing work and schooling;Balancing work and schooling;;;;;;;
We never have a break from each other. We are together 24/7.;"parenting exhaustion; no alone time ";"No alone time; parenting exhaustion?";"parenting exhaustion; no alone time ";"Parenting Exhaustion; Lack of Alone Time";;;;;;;
Balancing working from home and being with the children - coming up with a consistent schedule.;"balancing work and parenting; keeping children busy";"Balancing working and parenting; Routine changes";"Balancing work and parenting; Routine Changes";"Balancing work and parenting; Routine Changes";;;;;;;
Trying to walk two elementary students with autism through school work, while also working remotely, is extremely challenging.;balancing work and teaching/parenting;"Balancing working and teaching; Access to supports/services??";"Accessing services and supports; Balancing work and parenting; Balancing work and schooling";"Accessing services and supports; Balancing work and parenting; Balancing work and schooling";;;;;;;
We can't play with kids, which is the kind of physical and mental stimulation she needs to be happy and satisfied. Neither my husband or I can keep up with the amount of attention she requires to be happy. I try to get her to play by herself, but she ends up doing something negative to get my attention, like pulling the cat's tail. Then I send her to time-out in her room. It's happening a lot. A lot more than before. It seems like a terrible pattern I can't figure out how to get out of.;"isolation/confinement; entertaining children; children's behavior";"Juggling multiple roles?; Parenting exhaustion; kids behaviors; Routine changes";"Keeping Family Busy; Children's Behavior; Parent-Child Tension and Conflict";"Keeping Family Busy; Children's Behavior; Parent-Child Tension and Conflict";;;;;;;
